protein,species_name,species_major_class,species_minor_class,condition_entries,retained_entries,condition_only_entries,median_solvent_content,median_resolution,retention_rate
insulin,sodium,ion,cation,231,16,215,39.875,1.82,0.06926406926406926
insulin,citrate,organic_ion_or_buffer,anion_or_buffer,125,0,125,38.81,1.8,0.0
insulin,peg,polymeric_solvent_or_precipitant,polymer,115,0,115,50.91,2.3,0.0
insulin,acetate,ion,anion,99,5,94,40.0,1.9,0.050505050505050504
insulin,phosphate,ion,anion,68,7,61,34.69,1.68,0.10294117647058823
insulin,zinc,ion,cation,64,60,4,39.129999999999995,1.8,0.9375
insulin,acetone,solvent_or_cosolvent,ketone,50,4,46,35.03,1.74,0.08
insulin,ammonium,ion,cation,46,0,46,53.34,2.25,0.0
insulin,magnesium,ion,cation,42,6,36,48.715,2.25,0.14285714285714285
insulin,phenol,organic_additive,aromatic,41,35,6,40.92,1.98,0.8536585365853658
insulin,sulfate,ion,anion,35,18,17,57.63,1.95,0.5142857142857142
insulin,glycerol,solvent_or_cosolvent,polyol,35,2,33,34.4,1.68,0.05714285714285714
insulin,dioxane,solvent_or_cosolvent,ether,34,0,34,68.87,2.8,0.0
insulin,chloride,ion,anion,28,8,20,43.625,1.89,0.2857142857142857
insulin,potassium,ion,cation,17,0,17,55.18,2.4,0.0
insulin,mpd,solvent_or_cosolvent,polyol,13,1,12,59.595,1.95,0.07692307692307693
insulin,imidazole,buffer_or_additive,organic_base,13,0,13,61.425,2.65,0.0
insulin,calcium,ion,cation,12,3,9,47.47,2.25,0.25
insulin,ethylene glycol,solvent_or_cosolvent,polyol,10,0,10,47.885000000000005,2.115,0.0
lysozyme,sodium,ion,cation,1327,724,603,38.55,1.7,0.5455915599095704
lysozyme,acetate,ion,anion,832,125,707,38.56,1.68,0.1502403846153846
lysozyme,peg,polymeric_solvent_or_precipitant,polymer,402,0,402,41.59,1.8,0.0
lysozyme,chloride,ion,anion,401,232,169,38.36,1.75,0.5785536159600998
lysozyme,phosphate,ion,anion,231,60,171,36.5,1.8,0.2597402597402597
lysozyme,ethylene glycol,solvent_or_cosolvent,polyol,134,91,43,38.59,1.7,0.6791044776119403
lysozyme,ammonium,ion,cation,115,0,115,46.74,1.92,0.0
lysozyme,glycerol,solvent_or_cosolvent,polyol,103,12,91,38.22,1.6,0.11650485436893204
lysozyme,potassium,ion,cation,87,12,75,53.0,1.8,0.13793103448275862
lysozyme,nitrate,ion,anion,82,66,16,37.57,1.65,0.8048780487804879
lysozyme,sulfate,ion,anion,71,36,35,46.225,1.935,0.5070422535211268
lysozyme,citrate,organic_ion_or_buffer,anion_or_buffer,66,4,62,40.75,1.795,0.06060606060606061
lysozyme,formate,ion,anion,45,9,36,39.394999999999996,2.05,0.2
lysozyme,2-propanol,solvent_or_cosolvent,alcohol,38,5,33,51.68,1.75,0.13157894736842105
lysozyme,mpd,solvent_or_cosolvent,polyol,34,8,26,47.0,1.975,0.23529411764705882
lysozyme,lithium,ion,cation,34,0,34,40.879999999999995,1.82,0.0
lysozyme,magnesium,ion,cation,28,6,22,42.455,1.865,0.21428571428571427
lysozyme,calcium,ion,cation,19,8,11,41.95,2.0,0.42105263157894735
lysozyme,tartrate,organic_ion_or_buffer,anion_or_buffer,16,0,16,59.129999999999995,2.6900000000000004,0.0
lysozyme,imidazole,buffer_or_additive,organic_base,13,0,13,46.224999999999994,1.75,0.0
proteinase k,ammonium,ion,cation,107,0,107,39.85,1.17,0.0
proteinase k,sulfate,ion,anion,91,84,7,39.83,1.16,0.9230769230769231
proteinase k,sodium,ion,cation,68,3,65,42.09,1.6,0.04411764705882353
proteinase k,calcium,ion,cation,63,58,5,41.85,1.6,0.9206349206349206
proteinase k,chloride,ion,anion,29,1,28,39.18,1.3,0.034482758620689655
proteinase k,nitrate,ion,anion,20,16,4,42.42,1.69,0.8
proteinase k,tartrate,organic_ion_or_buffer,anion_or_buffer,16,0,16,,,0.0
proteinase k,acetate,ion,anion,12,0,12,39.73,1.125,0.0
ribonuclease,peg,polymeric_solvent_or_precipitant,polymer,484,0,484,50.345,2.0,0.0
ribonuclease,sodium,ion,cation,415,18,397,46.49,1.77,0.043373493975903614
ribonuclease,ammonium,ion,cation,344,0,344,55.894999999999996,2.1,0.0
ribonuclease,sulfate,ion,anion,284,171,113,55.93,2.075,0.602112676056338
ribonuclease,citrate,organic_ion_or_buffer,anion_or_buffer,196,16,180,43.629999999999995,1.78,0.08163265306122448
ribonuclease,magnesium,ion,cation,177,82,95,56.144999999999996,2.53,0.4632768361581921
ribonuclease,acetate,ion,anion,175,16,159,47.59,1.7,0.09142857142857143
ribonuclease,chloride,ion,anion,124,36,88,50.83,1.78,0.2903225806451613
ribonuclease,glycerol,solvent_or_cosolvent,polyol,104,64,40,49.879999999999995,1.52,0.6153846153846154
ribonuclease,calcium,ion,cation,101,42,59,49.46,1.52,0.4158415841584158
ribonuclease,imidazole,buffer_or_additive,organic_base,65,0,65,56.045,2.31,0.0
ribonuclease,mpd,solvent_or_cosolvent,polyol,55,2,53,44.98,1.86,0.03636363636363636
ribonuclease,phosphate,ion,anion,51,17,34,54.72,1.85,0.3333333333333333
ribonuclease,2-propanol,solvent_or_cosolvent,alcohol,46,12,34,39.14,1.95,0.2608695652173913
ribonuclease,potassium,ion,cation,42,9,33,49.84,1.97,0.21428571428571427
ribonuclease,lithium,ion,cation,22,1,21,59.92,2.5,0.045454545454545456
ribonuclease,ethylene glycol,solvent_or_cosolvent,polyol,18,8,10,52.79,2.18,0.4444444444444444
ribonuclease,formate,ion,anion,14,3,11,55.585,2.375,0.21428571428571427
ribonuclease,dtt,reducing_agent,thiol,13,0,13,49.644999999999996,2.08,0.0
ribonuclease,cesium,ion,cation,12,1,11,41.785,2.035,0.08333333333333333
ribonuclease,tartrate,organic_ion_or_buffer,anion_or_buffer,12,0,12,47.52,2.6,0.0
trypsin,sulfate,ion,anion,315,192,123,46.0,1.6,0.6095238095238096
trypsin,ammonium,ion,cation,303,2,301,45.495000000000005,1.5,0.006600660066006601
trypsin,peg,polymeric_solvent_or_precipitant,polymer,299,0,299,45.54,1.5,0.0
trypsin,calcium,ion,cation,126,122,4,41.825,1.45,0.9682539682539683
trypsin,sodium,ion,cation,126,12,114,46.47,1.7,0.09523809523809523
trypsin,magnesium,ion,cation,89,21,68,58.105000000000004,1.5,0.23595505617977527
trypsin,lithium,ion,cation,82,1,81,45.63,1.7,0.012195121951219513
trypsin,acetate,ion,anion,50,6,44,46.519999999999996,1.9,0.12
trypsin,imidazole,buffer_or_additive,organic_base,50,0,50,38.76,1.64,0.0
trypsin,chloride,ion,anion,47,4,43,43.25,1.52,0.0851063829787234
trypsin,citrate,organic_ion_or_buffer,anion_or_buffer,46,4,42,52.775000000000006,1.92,0.08695652173913043
trypsin,phosphate,ion,anion,40,0,40,45.325,1.5,0.0
trypsin,potassium,ion,cation,33,1,32,45.34,1.5,0.030303030303030304
trypsin,glycerol,solvent_or_cosolvent,polyol,20,15,5,45.58,1.41,0.75
trypsin,ethylene glycol,solvent_or_cosolvent,polyol,16,7,9,39.91,1.3,0.4375
trypsin,mpd,solvent_or_cosolvent,polyol,12,4,8,56.644999999999996,1.875,0.3333333333333333
